"Carimbo de data/hora","O jogo Gael foi divertido de jogar.","Eu entendi o que precisava fazer no jogo Gael.","Os comandos e controles do jogo foram fáceis de usar.","Os desafios de raciocínio do jogo foram interessantes para mim.","As perguntas de conteúdo (matemática financeira) que apareceram no jogo fizeram sentido para mim.","O nível de dificuldade do jogo foi adequado para mim (nem muito fácil, nem muito difícil).","Enquanto jogava o Gael, eu fiquei atento/concentrado na atividade.","Senti que o jogo Gael me ajudou a rever ou aprender melhor o conteúdo trabalhado em aula (matemática financeira).","Eu me senti motivado a continuar jogando até o final do tempo de aula.","Eu gostaria de usar o Gael novamente em outras aulas.","O que você mais gostou no jogo Gael? Explique.","O que você menos gostou ou achou mais difícil no jogo Gael? Explique.","Na sua opinião, de que forma o jogo Gael ajudou (ou não ajudou) sobre este conteúdo (matemática financeira)?"
"2026/04/24 8:04:31 AM GMT-3","4 – Concordo","3 – Nem concordo nem discordo","3 – Nem concordo nem discordo","3 – Nem concordo nem discordo","4 – Concordo","4 – Concordo","5 – Concordo totalmente","4 – Concordo","5 – Concordo totalmente","2 – Discordo","Matar os bichinhos","As perguntas difícil","ajudou a perceber que eu sou ruim em matemática"
"2026/04/24 8:04:36 AM GMT-3","4 – Concordo","3 – Nem concordo nem discordo","5 – Concordo totalmente","3 – Nem concordo nem discordo","4 – Concordo","3 – Nem concordo nem discordo","5 – Concordo totalmente","4 – Concordo","4 – Concordo","5 – Concordo totalmente","Matar os bichos","as perguntas difícil","ajudou a perceber que eu sou péssima em matemática"
"2026/04/24 8:05:39 AM GMT-3","5 – Concordo totalmente","4 – Concordo","3 – Nem concordo nem discordo","5 – Concordo totalmente","4 – Concordo","4 – Concordo","5 – Concordo totalmente","5 – Concordo totalmente","5 – Concordo totalmente","5 – Concordo totalmente","jogar","nao sei oq aconteceu no final do jogo","ajudou a perceber que sou desprovida de inteligencia "
"2026/04/24 8:05:39 AM GMT-3","5 – Concordo totalmente","2 – Discordo","3 – Nem concordo nem discordo","3 – Nem concordo nem discordo","4 – Concordo","3 – Nem concordo nem discordo","4 – Concordo","2 – Discordo","4 – Concordo","5 – Concordo totalmente","de jogar.","nao tinha muitas explicacoes e fica perdida.","ajudou a perceber q nao sou boa em matematica."
"2026/04/24 8:08:20 AM GMT-3","5 – Concordo totalmente","3 – Nem concordo nem discordo","2 – Discordo","4 – Concordo","5 – Concordo totalmente","3 – Nem concordo nem discordo","5 – Concordo totalmente","1 – Discordo totalmente","2 – Discordo","5 – Concordo totalmente","Correr, pular, jogar","Pular e ter que dar shift ao mesmo tempo.","Não ajudou pq nunca estudei isso."
"2026/04/24 8:08:27 AM GMT-3","4 – Concordo","4 – Concordo","3 – Nem concordo nem discordo","3 – Nem concordo nem discordo","3 – Nem concordo nem discordo","2 – Discordo","3 – Nem concordo nem discordo","2 – Discordo","4 – Concordo","4 – Concordo","a interface e atmosfera","as perguntas de porcentagem","Ele me deu vontade de aprender"
"2026/04/24 8:08:39 AM GMT-3","4 – Concordo","3 – Nem concordo nem discordo","3 – Nem concordo nem discordo","4 – Concordo","5 – Concordo totalmente","4 – Concordo","5 – Concordo totalmente","5 – Concordo totalmente","3 – Nem concordo nem discordo","4 – Concordo","fazer as contas","nao gostei dos controles do jogo","pois ele interte o jogador"
"2026/04/24 8:10:03 AM GMT-3","5 – Concordo totalmente","4 – Concordo","5 – Concordo totalmente","4 – Concordo","5 – Concordo totalmente","5 – Concordo totalmente","5 – Concordo totalmente","5 – Concordo totalmente","5 – Concordo totalmente","5 – Concordo totalmente","Da maneira de aprender matemática básica, pois é muito necessário aprender esse tipo de educação. ","De algumas dinâmicas e de ser um jogo muito travado.  ","Ajudou, pois consegui entender um pouco mais sobre educação financeira, como por exemplo: juros simples, juros composto, CDI, investimentos, etc."
"2026/04/24 8:10:04 AM GMT-3","4 – Concordo","4 – Concordo","3 – Nem concordo nem discordo","4 – Concordo","4 – Concordo","4 – Concordo","4 – Concordo","3 – Nem concordo nem discordo","3 – Nem concordo nem discordo","4 – Concordo","passar por partes de parkour","matar os bixos, eu morria sempre","me ajudou um pouco na matéria de porcentagem"
"2026/04/24 8:10:21 AM GMT-3","2 – Discordo","5 – Concordo totalmente","5 – Concordo totalmente","3 – Nem concordo nem discordo","4 – Concordo","4 – Concordo","4 – Concordo","1 – Discordo totalmente","1 – Discordo totalmente","1 – Discordo totalmente","de ficar pulando entre as plataformas","de ter que matar 400 bichos pra passar de fase. obs: morri todas as vezes e desisti","nao mudou muito, a maioria so chutou tudo e tinham algumas questoes um pouco dificeis de calcular"
"2026/04/24 8:12:00 AM GMT-3","4 – Concordo","5 – Concordo totalmente","4 – Concordo","4 – Concordo","4 – Concordo","4 – Concordo","4 – Concordo","4 – Concordo","4 – Concordo","3 – Nem concordo nem discordo","Ele parece um RPG","As contas","pensar mais"
"2026/04/24 8:15:48 AM GMT-3","4 – Concordo","3 – Nem concordo nem discordo","5 – Concordo totalmente","3 – Nem concordo nem discordo","3 – Nem concordo nem discordo","4 – Concordo","3 – Nem concordo nem discordo","5 – Concordo totalmente","4 – Concordo","4 – Concordo","A forma que são distribuidas as respostas","o pulo acho que deveria ficar mais alto","de forma que deixou mais facil entender o conteudo "
"2026/04/24 8:15:52 AM GMT-3","5 – Concordo totalmente","4 – Concordo","5 – Concordo totalmente","4 – Concordo","3 – Nem concordo nem discordo","4 – Concordo","5 – Concordo totalmente","5 – Concordo totalmente","5 – Concordo totalmente","5 – Concordo totalmente","gostei das perguntas objetivas e de facil compreensao","que o jogo nao salva o checkpoint de onde parei na fase anterior.","ajudou bastante!"
"2026/04/24 8:16:28 AM GMT-3","5 – Concordo totalmente","5 – Concordo totalmente","4 – Concordo","4 – Concordo","4 – Concordo","3 – Nem concordo nem discordo","4 – Concordo","5 – Concordo totalmente","4 – Concordo","5 – Concordo totalmente","Eu gostei muito da dinâmica do jogo apesar de ter alguns comandos um pouco confusos, gostei do conteúdo e da estética em si, da muita vontade de ficar jogando por horas porque o jogo é extremamente confortável.","O fato de que não há um check point definitivo para deixar o jogo salvo na minha conta e sempre que eu logar ter que começar tudo de novo torna a experiência um pouco enjoativa.","Ajudou."
"2026/04/24 8:16:43 AM GMT-3","4 – Concordo","4 – Concordo","5 – Concordo totalmente","3 – Nem concordo nem discordo","3 – Nem concordo nem discordo","5 – Concordo totalmente","3 – Nem concordo nem discordo","3 – Nem concordo nem discordo","2 – Discordo","3 – Nem concordo nem discordo","A experiência e a animação do jogo.","algumas questões dificeis.","reforçando as questões e deixando o aprendizado mais divertido."
"2026/04/24 8:19:54 AM GMT-3","4 – Concordo","4 – Concordo","3 – Nem concordo nem discordo","3 – Nem concordo nem discordo","3 – Nem concordo nem discordo","4 – Concordo","5 – Concordo totalmente","2 – Discordo","2 – Discordo","4 – Concordo","gostei do estilo","controles","na parte de calcular"
"2026/04/24 8:21:16 AM GMT-3","4 – Concordo","4 – Concordo","5 – Concordo totalmente","5 – Concordo totalmente","4 – Concordo","5 – Concordo totalmente","5 – Concordo totalmente","4 – Concordo","5 – Concordo totalmente","5 – Concordo totalmente","AJUDA A DESENVOLVER RACIOCINIO LOGICO E BOA CORDENAÇAO MOTORA ","JOGOS DE COMBATE, POIS TEM BOSS CHATOS DE MATAR","RACIOCINIO LOGICO"
"2026/04/24 8:21:27 AM GMT-3","4 – Concordo","4 – Concordo","5 – Concordo totalmente","3 – Nem concordo nem discordo","3 – Nem concordo nem discordo","4 – Concordo","5 – Concordo totalmente","4 – Concordo","4 – Concordo","4 – Concordo","A dinâmica que o jogo trouxe, e o fato de a matemática por mais presente que esteja, fica em segundo plano e deixa a jogabilidade mais fluida e não apenas preso nisso.","Algumas perguntas são realmente complicadas e o tempo de responder é muito curto.","Transforma a matemática em não apenas folhas e contas chatas, mas realmente mostra proposito e necessidade dela para 'Avançar de fase'."
"2026/04/24 8:25:06 AM GMT-3","3 – Nem concordo nem discordo","3 – Nem concordo nem discordo","5 – Concordo totalmente","2 – Discordo","3 – Nem concordo nem discordo","3 – Nem concordo nem discordo","3 – Nem concordo nem discordo","3 – Nem concordo nem discordo","2 – Discordo","2 – Discordo","a parte que tinha que matar os bichos","as contas","ajudou a compreender a matéria de um jeito mais divertido"
"2026/04/24 8:25:45 AM GMT-3","2 – Discordo","4 – Concordo","4 – Concordo","4 – Concordo","1 – Discordo totalmente","2 – Discordo","5 – Concordo totalmente","4 – Concordo","1 – Discordo totalmente","1 – Discordo totalmente","gostei da forma de jogar é interessante ","as contas não estavam indo na primeira pergunta não sei se por bug do jogo ou por falta de aprendizado meu porque falta de interesse não foi, me esforcei para fazer e não consegui passar do primeiro desafio.","não fez muita diferença para mim ,não consegui passar da primeira fase pelo ocorrido do jogo ter bugado isso foi muito frustrante para mim,me estressei atoa."
"2026/04/24 8:30:52 AM GMT-3","3 – Nem concordo nem discordo","2 – Discordo","4 – Concordo","3 – Nem concordo nem discordo","3 – Nem concordo nem discordo","3 – Nem concordo nem discordo","4 – Concordo","3 – Nem concordo nem discordo","4 – Concordo","4 – Concordo","a forma do jogar e o formato do jogo.","a forma de colocar as respostas é muito difícil pular e pegar o peso pra colocar a respostas ,as respostas parece estar erradas.","ajuda a entender um pouco sobre matemática "
"2026/04/24 8:50:02 AM GMT-3","4 – Concordo","4 – Concordo","5 – Concordo totalmente","5 – Concordo totalmente","5 – Concordo totalmente","4 – Concordo","4 – Concordo","4 – Concordo","4 – Concordo","3 – Nem concordo nem discordo","competição","poderia haver mais tempo","na  matematica mesmo
"
"2026/04/24 8:50:21 AM GMT-3","5 – Concordo totalmente","5 – Concordo totalmente","4 – Concordo","5 – Concordo totalmente","5 – Concordo totalmente","4 – Concordo","5 – Concordo totalmente","5 – Concordo totalmente","5 – Concordo totalmente","5 – Concordo totalmente","O PERSONAGEM E MUITO FOFO","as vezes  era dificil pular para outro bloco","ajudou a por em pratica os conteudos que eu so estudava na sala "
